"","Id","Site_ID","Status","Site_Name","Descriptio","Notes","YearListed","YearNR","YearSL","YearDOE","YearDesig","LocalStat","YearSurvey","HDstatus","LinkPath","LocalLink","County","Quad_Name","Township","Density","Location","PhotoLink","Spatial_Ac","Latitude","Longitude","YearUpdate","GISlink","CNCstatus","LHDstatus","GlobalID","created_us","created_da","last_edite","last_edi_1","geometry","...36"
"1",0,"WA0009","NR","Christ Church  (NHL)","1848-1852 Gothic Revival stone Episcopal church","See also blockface file WA3985 Commercial Buildings",1970,1970,NA,NA,1969,"LL",NA,"NRHD","https://files.nc.gov/ncdcr/nr/WA0009.pdf","http://www.rhdc.org/christ-episcopal-church","Wake","Raleigh West","Raleigh","H","120 East Edenton St, Raleigh","http://images.archives.ncdcr.gov/WA0009.jpg","[NRnom]",35.78078466,-78.63772456,NA,"http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-78.637725,35.780785&level=18","C","LHD","{B8D75E66-9EDA-439C-AF73-EB1994CC4591}","DATA_OWNER","9/24/19","DATA_OWNER","5/5/23","c(2107452.66051014","739295.753555804)"
"2",0,"WA0058","SO","First Presbyterian Church","c. 1900","See also blockface file WA3955 Commercial Buildings",NA,NA,NA,NA,1969,"LL",NA,"NRHD",NA,"http://www.rhdc.org/first-presbyterian-church","Wake","Raleigh West","Raleigh","H","SW corner Morgan & Salisbury Sts 112 S. Salisbury Street Ra*",NA,NA,35.7794492,-78.64042216,NA,"http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-78.640422,35.779449&level=18","C","LHD","{CF6F83E0-3CCC-4A81-883D-C8038D3F55D3}","DATA_OWNER","9/24/19","DATA_OWNER","5/5/23","c(2106654.30974464","738806.750268728)"
"3",0,"WA0056","SO","First Baptist Church (1859)","c. 1859 Gothic Revival","See also blockface file WA3955 Commercial Buildings",NA,NA,NA,NA,1969,"LL",NA,"NRHD",NA,"http://www.rhdc.org/first-baptist-church","Wake","Raleigh West","Raleigh","H","99 North Salisbury Street, Union Square Raleigh",NA,NA,35.78104633,-78.64037158,NA,"http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-78.640372,35.781046&level=18","C","LHD","{FA5DF865-0476-40A1-A1B4-250A59FBD5FE}","DATA_OWNER","9/24/19","DATA_OWNER","5/5/23","c(2106667.20571622","739388.144119054)"
"4",187671,"ID0407","SLDOE","Statesville (Southern Railway) Depot","19111-story brick veneer w/ wide eaves, large brackets, diamond-pane upper sash, dormer","Norfolk Southern Railroad. Crit C; ER 15-2204; Multi Co Rpt #1210.1",NA,NA,2001,2023,2008,"LL",NA,"None",NA,"https://www.hpo.nc.gov/pdfs/er-15-2204-june-2022-report/open","Iredell","Statesville West","Statesville","H","111 Depot Ln, Statesville",NA,"[Consult]",35.77568095,-80.88427476,"2023","http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-80.884275,35.775681&level=18","C",NA,"{97D9874E-4F20-4A96-9A21-0E060B3EF25C}","DATA_OWNER","9/24/19","DATA_OWNER","7/31/23","c(1441117.00302663","742546.305125564)"
"5",0,"MK1359","DOE","Cooper Log House","c. 1780s Trad/Vern","ER 90-8402; MK Co Rpt #20. Eligibility reconfirmed 9/2/1998; CH 96-0362; MK Co RPt #108.",NA,NA,NA,1990,1984,"LL",NA,"None",NA,"https://www.hpo.nc.gov/pdfs/ch-96-0362/open","Mecklenburg","Charlotte West","Berryhill","L","N side SR 1184 (Dixie River Rd) at jct w/ SR 1155 (W.Charlo*",NA,NA,35.20397887,-80.97385352,NA,"http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-80.973854,35.203979&level=18",NA,NA,"{97D9860B-063C-41A7-9736-EC792CBDE133}","DATA_OWNER","9/24/19","DATA_OWNER","7/31/23","c(1410413.87316005","535024.056785062)"
"6",0,"MK1361","DOE","John Douglas House","c. 1867 Greek Revival","ER 90-8402; MK Co Rpt #20. Eligibility reconfirmed 2020; ER 20-0438; MK Co Rpt #1130",NA,NA,NA,1990,1980,"LL",NA,"None",NA,"https://files.nc.gov/ncdcr/historic-preservation-office/PDFs/ER_20-0438.pdf","Mecklenburg","Charlotte West","Charlotte","H","N side SR 1152 (Christie Ln), 0.2 mi NE jct w/ NC 160 (W. C*",NA,NA,35.1828684,-80.95290412,NA,"http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-80.952904,35.182868&level=18",NA,NA,"{5DE1A69C-95F4-4168-8507-5738D09A6E17}","DATA_OWNER","9/24/19","DATA_OWNER","7/31/23","c(1416519.47709055","527218.773511142)"
"7",0,"MK1899","SD","Shotgun House A (Original site)","c. 1898 Shotgun stl.","Moved to 236 Norwood Drive between 5/2019-5/2021",NA,NA,NA,NA,1985,"LL",NA,"None",NA,"http://landmarkscommission.org/wp-content/uploads/2018/07/Shotgun-Houses-SR.pdf","Mecklenburg","Charlotte East","Charlotte","H","403 N. Myers St. Charlotte",NA,"[GSV]",35.22407034,-80.83321135,NA,"http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-80.833211,35.22407&level=18",NA,NA,"{7BAA15AA-0F5C-4A54-8727-26DB563A24AF}","DATA_OWNER","9/24/19","DATA_OWNER","7/31/23","c(1452553.53494355","541529.43058531)"
"8",0,"MK2493","SD","Shotgun House B (Original site)","c. 1898 Shotgun stl.","Moved to 236 Norwood Drive between 5/2019-5/2021",NA,NA,NA,NA,1985,"LL",NA,"None",NA,"http://landmarkscommission.org/wp-content/uploads/2018/07/Shotgun-Houses-SR.pdf","Mecklenburg","Charlotte East","Charlotte","H","403 N. Myers St, Charlotte",NA,"[GSV]",35.22413826,-80.83315352,NA,"http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-80.833154,35.224138&level=18",NA,NA,"{CD24BC74-9B1C-4D1B-AE21-101CC12C4293}","DATA_OWNER","9/24/19","DATA_OWNER","7/31/23","c(1452571.25898947","541553.825221553)"
"9",0,"MK----","SO","Shotgun House B (Current site)","c. 1898 Shotgun stl.","Moved here from 403 N Myers St between 5/2019-5/2021",NA,NA,NA,NA,1985,"LL",NA,"None",NA,"http://landmarkscommission.org/wp-content/uploads/2018/07/Shotgun-Houses-SR.pdf","Mecklenburg","Mountain Island Lake","Charlotte","H","236 Norwood Dr, Charlotte",NA,"[GSV]",35.25368238,-80.87569231,NA,"http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-80.875692,35.253682&level=18",NA,NA,"{755DE741-DD91-4C84-ADBD-94F7F94B1B08}","DATA_OWNER","7/17/23","DATA_OWNER","7/31/23","c(1440072.66554838","552541.65790464)"
"10",0,"MK----","SO","Shotgun House A (Current site)","c. 1898 Shotgun stl.","Moved here from 403 N Myers St between 5/2019-5/2021",NA,NA,NA,NA,1985,"LL",NA,"None",NA,"http://landmarkscommission.org/wp-content/uploads/2018/07/Shotgun-Houses-SR.pdf","Mecklenburg","Mountain Island Lake","Charlotte","H","236 Norwood Dr, Charlotte",NA,"[GSV]",35.25361449,-80.87575014,NA,"http://nc.maps.arcgis.com/apps/webappviewer/index.html?id=d2d04d8d7e03403f889419526e682529&center=-80.87575,35.253614&level=18",NA,NA,"{A877C465-E7EA-40E7-8E37-07C4B15F9405}","DATA_OWNER","7/17/23","DATA_OWNER","7/31/23","c(1440054.93756548","552517.279672563)"
